love,prə'ma:
knowledge,'ɲa:na
peace,'ʃa:nti
truth,'sətjə
faith,'ʃrəddʰa:
happiness,'sukʰə
freedom,sva'təntrjə
courage,'ʃaurə
light,prə'ka:ʃə
joy,a'nəndə
hope,ə'ʃa:
wisdom,'dʰi:hi
power,'ʃəkti
life,'dʒi:vənə
beauty,saw'ndərjə
strength,'bələ
compassion,'dəjə
patience,kʂə'ma:
prosperity,səm'pət
harmony,'səŋgəti
victory,vi'dʒəjə
dharma,'dʰərmə
justice,'ɲa:jə
devotion,'bʰəkti
health,sva:stʰjə
purity,'ʃuddʰi
protection,'rɑ:kʂə
virtue,'gu:na
respect,səmmə'na:
charity,'da:na
service,'sevə
teacher,'guru
student,'ʃiʂjə
mind,'mənəs
soul,'ɑ:tmə
body,ʃə'ri:rə
food,'ənnə
water,'dʒalə
fire,'əgni
air,'vɑ:ju
earth,prtʰivi:
sky,ɑ:'kɑ:ʃə
sun,'su:rjə
moon,'tʃəndrə
star,'tɑ:rə
mountain,'pərvətə
river,'nədi:
